,Unnamed: 0,killed_by,killer_placement,killer_position_x,killer_position_y,time,victim_placement,victim_position_x,victim_position_y
0,9740,SCAR-L,58.0,557192.7,133409.1,63,90.0,556511.1,132262.6
1,8917,SCAR-L,1.0,687004.4,462572.1,68,22.0,686792.3,462423.2
2,14071,S1897,62.0,339699.7,166596.3,69,95.0,339567.8,165740.2
3,12236,Falling,,,,71,96.0,619153.2,597285.4
4,5919,P1911,44.0,215102.2,269101.9,72,46.0,215008.4,269317.6
5,6625,Punch,8.0,463166.4,649770.6,74,44.0,463186.6,649669.3
6,24365,M416,3.0,697781.8,345408.0,74,94.0,698555.4,346123.1
7,13218,S1897,36.0,197543.4,284833.4,75,14.0,197285.5,284523.7
8,7145,AKM,27.0,621388.8,297031.8,76,3.0,621149.3,297176.8
9,22685,Punch,26.0,291839.6,565862.1,76,29.0,291711.3,565921.2
10,9710,SCAR-L,58.0,556750.1,133916.8,76,89.0,557697.6,137549.7
13,24924,Crowbar,28.0,464210.9,650253.5,77,24.0,464274.9,650304.4
11,16916,P92,43.0,702431.2,340723.0,77,48.0,702275.8,340783.3
12,8056,P92,43.0,566767.8,349516.8,77,83.0,565734.1,349889.4
14,22256,S12K,65.0,430908.7,635042.8,78,89.0,430148.1,635404.6
15,871,SCAR-L,30.0,688194.1,462714.6,78,36.0,686710.8,463913.3
16,4379,S12K,17.0,446597.6,628499.0,78,21.0,446031.2,628754.1
17,6680,S12K,88.0,437427.7,623679.3,78,97.0,436275.8,624600.1
18,2340,Tommy Gun,95.0,686924.4,462131.9,79,97.0,686803.6,462087.7
19,16316,Tommy Gun,6.0,625528.1,611307.9,80,22.0,625666.3,611328.2
20,13798,UMP9,10.0,160642.1,294849.4,80,25.0,160402.1,294698.7
25,17769,S1897,38.0,464826.8,650366.0,81,47.0,464822.9,649848.1
24,19839,M416,12.0,449420.8,629581.1,81,49.0,450267.1,629701.8
22,5908,UMP9,44.0,215179.2,269132.2,81,46.0,214910.7,271232.9
21,2217,Tommy Gun,48.0,529986.2,626004.4,81,96.0,529968.4,624983.0
23,5384,M16A4,77.0,198641.1,289391.5,81,95.0,199311.3,286932.6
34,2190,Falling,,,,82,94.0,437399.8,622731.5
26,24910,S1897,27.0,437569.6,640260.9,82,27.0,437850.3,640277.6
27,15831,Punch,47.0,550510.7,629413.2,82,35.0,550420.1,629461.3
28,2258,M416,32.0,550340.4,629464.4,82,95.0,550939.6,629383.1
29,13489,S686,22.0,455835.5,630078.4,82,48.0,456037.3,630236.3
30,241,Mini 14,46.0,449266.6,621581.3,82,50.0,448709.4,621835.1
31,11495,AKM,23.0,157465.6,413076.8,82,87.0,157139.5,413391.6
32,20792,S686,18.0,432484.8,626512.2,82,17.0,432556.5,626582.3
33,1757,Vector,29.0,450672.7,621432.3,82,20.0,450668.2,621044.0
35,20788,M416,23.0,432098.3,636468.1,82,29.0,432360.3,636286.1
36,24921,UMP9,11.0,430321.9,634980.4,82,27.0,430377.6,635661.4
47,13285,S12K,45.0,199668.7,292144.2,83,44.0,199394.2,292052.7
48,16903,SCAR-L,43.0,703818.8,342376.9,83,48.0,701280.4,342417.6
49,5929,SKS,17.0,196516.2,268932.0,83,41.0,197909.7,268755.1
46,24925,UMP9,22.0,459217.7,627618.4,83,26.0,458674.3,625284.6
51,5250,SCAR-L,18.0,432227.3,636218.7,83,49.0,432134.4,636625.9
52,3392,UMP9,8.0,179025.7,619185.9,83,96.0,179244.3,617133.9
50,8673,Mini 14,20.0,202750.2,291949.1,83,24.0,203088.8,292662.9
45,13469,SCAR-L,3.0,448908.4,620754.9,83,34.0,448638.3,620765.1
42,17184,Mini 14,2.0,630950.6,372179.8,83,26.0,631066.8,372258.6
43,17547,AKM,2.0,389474.2,117125.5,83,28.0,389722.1,117564.7
41,23465,M416,87.0,577981.5,121294.0,83,88.0,578041.1,120752.2
40,2780,P1911,15.0,654811.1,357349.8,83,36.0,654786.4,357875.8
39,1589,S1897,49.0,423478.7,326743.9,83,50.0,422970.7,326751.9
38,5287,Down and Out,18.0,432483.1,636634.8,83,49.0,432064.4,636765.7
37,24862,Kar98k,23.0,445802.2,628282.9,83,26.0,446034.8,626822.1
44,16111,M16A4,28.0,624658.1,303207.4,83,47.0,624483.1,303183.8
59,16150,UMP9,24.0,732650.4,436477.8,84,93.0,731525.8,436247.6
58,16392,Down and Out,6.0,631602.2,614303.3,84,26.0,628965.2,616389.6
57,16336,SCAR-L,6.0,631465.5,614509.8,84,26.0,629467.3,615715.1
56,4820,P1911,40.0,172525.7,308143.1,84,49.0,173009.2,308965.6
54,18473,AKM,5.0,444351.8,621823.4,84,94.0,444404.2,621926.6
53,16388,Down and Out,6.0,633147.8,612608.9,84,26.0,632321.1,611449.6
55,571,M416,40.0,439856.0,638353.6,84,45.0,440316.0,638705.5
74,5293,AKM,13.0,448886.6,620706.1,85,48.0,447586.0,621263.7
73,13985,Punch,4.0,603144.1,601078.1,85,3.0,603140.4,601158.2
